timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591592358001,2190,http://lifecharger.org/,200,OK,Thread Group 1-1,text,true,,50639,372,8,8,http://lifecharger.org/,1583,0,291
1591592358303,2236,http://lifecharger.org/,200,OK,Thread Group 1-2,text,true,,50645,372,9,9,http://lifecharger.org/,1671,0,289
1591592358602,2736,http://lifecharger.org/,200,OK,Thread Group 1-3,text,true,,50632,372,10,10,http://lifecharger.org/,2108,0,403
1591592358902,3055,http://lifecharger.org/,200,OK,Thread Group 1-4,text,true,,50653,372,10,10,http://lifecharger.org/,2474,0,330
1591592359202,3992,http://lifecharger.org/,200,OK,Thread Group 1-5,text,true,,50645,372,10,10,http://lifecharger.org/,3370,0,274
1591592359501,4642,http://lifecharger.org/,200,OK,Thread Group 1-6,text,true,,50687,372,10,10,http://lifecharger.org/,3891,0,335
1591592360542,3970,http://lifecharger.org/2-minute-rule/,200,OK,Thread Group 1-2,text,true,,37088,804,10,10,http://lifecharger.org/2-minute-rule/,3893,0,0
1591592360193,4361,http://lifecharger.org/2-minute-rule/,200,OK,Thread Group 1-1,text,true,,37075,804,10,10,http://lifecharger.org/2-minute-rule/,4291,0,0
1591592359803,5266,http://lifecharger.org/,200,OK,Thread Group 1-7,text,true,,50646,372,10,10,http://lifecharger.org/,4612,0,305
1591592360103,6054,http://lifecharger.org/,200,OK,Thread Group 1-8,text,true,,50680,372,10,10,http://lifecharger.org/,5440,0,275
1591592360403,5754,http://lifecharger.org/,200,OK,Thread Group 1-9,text,true,,50632,372,10,10,http://lifecharger.org/,5140,0,297
1591592360702,5692,http://lifecharger.org/,200,OK,Thread Group 1-10,text,true,,50633,372,10,10,http://lifecharger.org/,4869,0,312
1591592361339,5060,http://lifecharger.org/2-minute-rule/,200,OK,Thread Group 1-3,text,true,,37109,804,10,10,http://lifecharger.org/2-minute-rule/,4986,0,0
1591592361958,4618,http://lifecharger.org/2-minute-rule/,200,OK,Thread Group 1-4,text,true,,37082,804,10,10,http://lifecharger.org/2-minute-rule/,4512,0,0
1591592363196,4291,http://lifecharger.org/2-minute-rule/,200,OK,Thread Group 1-5,text,true,,37082,804,10,10,http://lifecharger.org/2-minute-rule/,3444,0,0
1591592364146,4404,http://lifecharger.org/2-minute-rule/,200,OK,Thread Group 1-6,text,true,,37075,804,10,10,http://lifecharger.org/2-minute-rule/,4337,0,0
1591592365072,5486,http://lifecharger.org/2-minute-rule/,200,OK,Thread Group 1-7,text,true,,37082,804,10,10,http://lifecharger.org/2-minute-rule/,5286,0,0
1591592366161,5299,http://lifecharger.org/2-minute-rule/,200,OK,Thread Group 1-8,text,true,,37075,804,10,10,http://lifecharger.org/2-minute-rule/,5221,0,0
1591592364514,6970,http://lifecharger.org/archives/,200,OK,Thread Group 1-2,text,true,,53586,799,10,10,http://lifecharger.org/archives/,6909,0,0
1591592366396,5101,http://lifecharger.org/2-minute-rule/,200,OK,Thread Group 1-10,text,true,,37082,804,10,10,http://lifecharger.org/2-minute-rule/,5060,0,0
1591592364556,6957,http://lifecharger.org/archives/,200,OK,Thread Group 1-1,text,true,,53580,799,10,10,http://lifecharger.org/archives/,6890,0,0
1591592366161,5414,http://lifecharger.org/2-minute-rule/,200,OK,Thread Group 1-9,text,true,,37075,804,10,10,http://lifecharger.org/2-minute-rule/,5329,0,0
1591592366579,7989,http://lifecharger.org/archives/,200,OK,Thread Group 1-4,text,true,,53586,799,10,10,http://lifecharger.org/archives/,7876,0,0
1591592366402,8969,http://lifecharger.org/archives/,200,OK,Thread Group 1-3,text,true,,53551,799,10,10,http://lifecharger.org/archives/,8078,0,0
1591592367489,9024,http://lifecharger.org/archives/,200,OK,Thread Group 1-5,text,true,,53584,799,10,10,http://lifecharger.org/archives/,9014,0,0
1591592371514,5000,http://lifecharger.org/books-i-am-reading/,200,OK,Thread Group 1-1,text,true,,33385,809,10,10,http://lifecharger.org/books-i-am-reading/,4992,0,0
1591592371484,5088,http://lifecharger.org/books-i-am-reading/,200,OK,Thread Group 1-2,text,true,,33385,809,10,10,http://lifecharger.org/books-i-am-reading/,5028,0,0
1591592368550,11023,http://lifecharger.org/archives/,200,OK,Thread Group 1-6,text,true,,53566,799,10,10,http://lifecharger.org/archives/,9999,0,0
1591592370558,9420,http://lifecharger.org/archives/,200,OK,Thread Group 1-7,text,true,,53592,799,10,10,http://lifecharger.org/archives/,9015,0,0
1591592374569,7054,http://lifecharger.org/books-i-am-reading/,200,OK,Thread Group 1-4,text,true,,33385,809,10,10,http://lifecharger.org/books-i-am-reading/,6033,0,0
1591592371460,10163,http://lifecharger.org/archives/,200,OK,Thread Group 1-8,text,true,,53552,799,10,10,http://lifecharger.org/archives/,9137,0,0
1591592371575,10048,http://lifecharger.org/archives/,200,OK,Thread Group 1-9,text,true,,53552,799,10,10,http://lifecharger.org/archives/,9032,0,0
1591592375372,6260,http://lifecharger.org/books-i-am-reading/,200,OK,Thread Group 1-3,text,true,,33392,809,10,10,http://lifecharger.org/books-i-am-reading/,6251,0,0
1591592376515,5122,http://lifecharger.org/about/,200,OK,Thread Group 1-1,text,true,,32678,796,10,10,http://lifecharger.org/about/,5117,0,0
1591592371498,10139,http://lifecharger.org/archives/,200,OK,Thread Group 1-10,text,true,,53559,799,10,10,http://lifecharger.org/archives/,10130,0,0
1591592376513,5871,http://lifecharger.org/books-i-am-reading/,200,OK,Thread Group 1-5,text,true,,33392,809,9,9,http://lifecharger.org/books-i-am-reading/,5124,0,0
1591592376574,5911,http://lifecharger.org/about/,200,OK,Thread Group 1-2,text,true,,32678,796,9,9,http://lifecharger.org/about/,5849,0,0
1591592379575,4806,http://lifecharger.org/books-i-am-reading/,200,OK,Thread Group 1-6,text,true,,33385,809,8,8,http://lifecharger.org/books-i-am-reading/,4095,0,0
1591592379980,4657,http://lifecharger.org/books-i-am-reading/,200,OK,Thread Group 1-7,text,true,,33446,809,8,8,http://lifecharger.org/books-i-am-reading/,4657,0,0
1591592381641,3783,http://lifecharger.org/books-i-am-reading/,200,OK,Thread Group 1-10,text,true,,33385,809,8,8,http://lifecharger.org/books-i-am-reading/,3775,0,0
1591592381625,3799,http://lifecharger.org/about/,200,OK,Thread Group 1-4,text,true,,32678,796,8,8,http://lifecharger.org/about/,3786,0,0
